opcode_hex,mnemonic,operand_form,bytes,flow_kind
00,NOP,NOP,1,
01,RAL,RAL,1,
02,S,S,1,
03,TAE,TAE,1,
04,SPB,SPB  0,1,
05,SPB,SPB  1,1,
06,SPB,SPB  2,1,
07,SPB,SPB  3,1,
08,SMB,SMB  0,1,
09,SMB,SMB  1,1,
0A,SMB,SMB  2,1,
0B,SMB,SMB  3,1,
0C,IP,IP,1,
0D,XAE,XAE,1,
0E,INC,INC,1,
0F,DEC,DEC,1,
10,RFB,RFB  0,1,
11,RFB,RFB  1,1,
12,RFB,RFB  2,1,
13,RFB,RFB  3,1,
14,RFB,RFB  4,1,
15,RFB,RFB  5,1,
16,RFB,RFB  6,1,
17,RFB,RFB  7,1,
18,RFB,RFB  8,1,
19,RFB,RFB  9,1,
1A,RFB,RFB  10,1,
1B,RFB,RFB  11,1,
1C,RFB,RFB  12,1,
1D,RFB,RFB  13,1,
1E,RFB,RFB  14,1,
1F,RFB,RFB  15,1,
20,ADC,ADC,1,
21,L,L,1,
22,RTI,RTI,1,ret
23,XAH,XAH,1,
24,RPB,RPB  0,1,
25,RPB,RPB  1,1,
26,RPB,RPB  2,1,
27,RPB,RPB  3,1,
28,RMB,RMB  0,1,
29,RMB,RMB  1,1,
2A,RMB,RMB  2,1,
2B,RMB,RMB  3,1,
2C,CI/CLI/SCTL/RCTL,"prefix: 2nd byte 4n=CI #n, 5n=CLI #n, 8n=SCTL n, 9n=RCTL n",2,prefix
2D,-,undefined,0,
2E,INM,INM,1,
2F,DEM,DEM,1,
30,BNA0,BNA0,2,br
31,BNA1,BNA1,2,br
32,BNA2,BNA2,2,br
33,BNA3,BNA3,2,br
34,BNM0,BNM0,2,br
35,BNM1,BNM1,2,br
36,BNM2,BNM2,2,br
37,BNM3,BNM3,2,br
38,BNP0,BNP0,2,br
39,BNP1,BNP1,2,br
3A,BNP2,BNP2,2,br
3B,BNP3,BNP3,2,br
3C,BNTM,BNTM,2,br
3D,BNI,BNI,2,br
3E,BNZ,BNZ,2,br
3F,BNC,BNC,2,br
40,LHI,LHI  #0,1,
41,LHI,LHI  #1,1,
42,LHI,LHI  #2,1,
43,LHI,LHI  #3,1,
44,LHI,LHI  #4,1,
45,LHI,LHI  #5,1,
46,LHI,LHI  #6,1,
47,LHI,LHI  #7,1,
48,LHI,LHI  #8,1,
49,LHI,LHI  #9,1,
4A,LHI,LHI  #10,1,
4B,LHI,LHI  #11,1,
4C,LHI,LHI  #12,1,
4D,LHI,LHI  #13,1,
4E,LHI,LHI  #14,1,
4F,LHI,LHI  #15,1,
50,SFB,SFB  0,1,
51,SFB,SFB  1,1,
52,SFB,SFB  2,1,
53,SFB,SFB  3,1,
54,SFB,SFB  4,1,
55,SFB,SFB  5,1,
56,SFB,SFB  6,1,
57,SFB,SFB  7,1,
58,SFB,SFB  8,1,
59,SFB,SFB  9,1,
5A,SFB,SFB  10,1,
5B,SFB,SFB  11,1,
5C,SFB,SFB  12,1,
5D,SFB,SFB  13,1,
5E,SFB,SFB  14,1,
5F,SFB,SFB  15,1,
60,AD,AD,1,
61,OP,OP,1,
62,RT,RT,1,ret
63,RTBL,RTBL,1,
64,SB,SB   0,1,
65,SB,SB   1,1,
66,SB,SB   2,1,
67,SB,SB   3,1,
68,JMP,JMP,2,jmp
69,JMP,JMP,2,jmp
6A,JMP,JMP,2,jmp
6B,JMP,JMP,2,jmp
6C,JMP,JMP,2,jmp
6D,JMP,JMP,2,jmp
6E,JMP,JMP,2,jmp
6F,JMP,JMP,2,jmp
70,BA0,BA0,2,br
71,BA1,BA1,2,br
72,BA2,BA2,2,br
73,BA3,BA3,2,br
74,BM0,BM0,2,br
75,BM1,BM1,2,br
76,BM2,BM2,2,br
77,BM3,BM3,2,br
78,BP0,BP0,2,br
79,BP1,BP1,2,br
7A,BP2,BP2,2,br
7B,BP3,BP3,2,br
7C,BTM,BTM,2,br
7D,BI,BI,2,br
7E,BZ,BZ,2,br
7F,BC,BC,2,br
80,LDZ,LDZ  #0,1,
81,LDZ,LDZ  #1,1,
82,LDZ,LDZ  #2,1,
83,LDZ,LDZ  #3,1,
84,LDZ,LDZ  #4,1,
85,LDZ,LDZ  #5,1,
